2025-07-17 01:16:20 install sysvinit-utils:amd64 <none> 3.06-4
2025-07-17 01:16:20 status half-installed sysvinit-utils:amd64 3.06-4
2025-07-17 01:16:20 status unpacked sysvinit-utils:amd64 3.06-4
2025-07-17 01:16:20 install tar:amd64 <none> 1.34+dfsg-1.2+deb12u1
2025-07-17 01:16:20 status half-installed tar:amd64 1.34+dfsg-1.2+deb12u1
2025-07-17 01:16:20 status unpacked tar:amd64 1.34+dfsg-1.2+deb12u1
2025-07-17 01:16:20 install tzdata:all <none> 2025b-0+deb12u1
2025-07-17 01:16:20 status half-installed tzdata:all 2025b-0+deb12u1
2025-07-17 01:16:24 status unpacked tzdata:all 2025b-0+deb12u1
2025-07-17 01:16:24 install usr-is-merged:all <none> 37~deb12u1
2025-07-17 01:16:24 status half-installed usr-is-merged:all 37~deb12u1
2025-07-17 01:16:24 status unpacked usr-is-merged:all 37~deb12u1
2025-07-17 01:16:24 install util-linux:amd64 <none> 2.38.1-5+deb12u3
2025-07-17 01:16:24 status half-installed util-linux:amd64 2.38.1-5+deb12u3
2025-07-17 01:16:25 status unpacked util-linux:amd64 2.38.1-5+deb12u3
2025-07-17 01:16:25 install util-linux-extra:amd64 <none> 2.38.1-5+deb12u3
2025-07-17 01:16:25 status half-installed util-linux-extra:amd64 2.38.1-5+deb12u3
2025-07-17 01:16:25 status unpacked util-linux-extra:amd64 2.38.1-5+deb12u3
2025-07-17 01:16:25 install zlib1g:amd64 <none> 1:1.2.13.dfsg-1
2025-07-17 01:16:25 status half-installed zlib1g:amd64 1:1.2.13.dfsg-1
2025-07-17 01:16:25 status unpacked zlib1g:amd64 1:1.2.13.dfsg-1
2025-07-17 01:16:25 startup packages configure
2025-07-17 01:16:25 configure debian-archive-keyring:all 2023.3+deb12u2 <none>
2025-07-17 01:16:25 status unpacked debian-archive-keyring:all 2023.3+deb12u2
2025-07-17 01:16:25 status half-configured debian-archive-keyring:all 2023.3+deb12u2
2025-07-17 01:16:25 status installed debian-archive-keyring:all 2023.3+deb12u2
2025-07-17 01:16:25 configure usr-is-merged:all 37~deb12u1 <none>
